,sample,Variable,First Order Effect
0,complete,X1,0.15015246664039916
1,complete,X1,0.3455198270817572
2,complete,X1,0.37768547293885807
3,complete,X1,0.14916880109670272
4,complete,X1,0.27059332261922286
5,complete,X1,0.48818984786473335
6,complete,X1,0.031661189874399503
7,complete,X1,0.15423850796244756
8,complete,X1,0.3468217950557066
9,complete,X1,0.27204720111844727
10,complete,X1,0.39717662828841044
11,complete,X1,0.40526658201599125
12,complete,X1,0.11752771840739364
13,complete,X1,0.08941586682606892
14,complete,X1,0.43409608770541713
15,complete,X1,0.218249250492957
16,complete,X1,0.11167650087493372
17,complete,X1,0.28093198122565477
18,complete,X1,0.2149515360469612
19,complete,X1,0.25047416568666414
20,complete,X1,0.3709640512410979
21,complete,X1,0.2821708782162764
22,complete,X1,0.2308380553603676
23,complete,X1,0.37936317742772474
24,complete,X1,0.3310789585897856
25,complete,X1,0.4182615816570417
26,complete,X1,0.4271964976904967
27,complete,X1,0.25113120369494407
28,complete,X1,0.125974776220539
29,complete,X1,0.4362700934313149
30,complete,X1,0.5102624498682767
31,complete,X1,0.25736699517537637
32,complete,X1,0.3127140851556638
33,complete,X1,0.24004825103139465
34,complete,X1,0.3827620404334406
35,complete,X1,0.30264598800617626
36,complete,X1,0.38856580111895683
37,complete,X1,0.13110522296022
38,complete,X1,0.40691298543386206
39,complete,X1,0.2410387961861173
40,complete,X1,0.22644892465456434
41,complete,X1,0.3024000174743112
42,complete,X1,0.2971190650327086
43,complete,X1,0.38658616554435377
44,complete,X1,-0.1312558737176621
45,complete,X1,0.2512825825660852
46,complete,X1,0.23727238894901168
47,complete,X1,0.2891365447681749
48,complete,X1,0.22558328426873478
49,complete,X1,0.41968606872092523
50,complete,X1,0.24058902040581912
51,complete,X1,0.3960346764415201
52,complete,X1,0.3912905112970577
53,complete,X1,0.14303199201660818
54,complete,X1,0.2764779225802366
55,complete,X1,0.42892598918073604
56,complete,X1,0.2475118209516457
57,complete,X1,0.3487862759959284
58,complete,X1,0.30366445739682224
59,complete,X1,0.34899402306930705
60,complete,X1,0.2651637259415948
61,complete,X1,0.26051663959643656
62,complete,X1,0.22055950732319737
63,complete,X1,0.4476274951105243
64,complete,X1,0.23619863770826213
65,complete,X1,0.5150154922287975
66,complete,X1,0.19548381073732266
67,complete,X1,0.2239704747899319
68,complete,X1,0.25502893618203865
69,complete,X1,0.2323249439666817
70,complete,X1,0.28681445921754084
71,complete,X1,0.3744332112865105
72,complete,X1,0.2976983313981211
73,complete,X1,0.4521824068077354
74,complete,X1,0.25372451856456496
75,complete,X1,0.35616282500729346
76,complete,X1,0.27367998452925724
77,complete,X1,0.036791915126743395
78,complete,X1,0.3446832728984264
79,complete,X1,0.21400024148163793
80,complete,X1,0.1644960555357756
81,complete,X1,0.17649926269723698
82,complete,X1,0.37821967101650283
83,complete,X1,0.4542733932271194
84,complete,X1,0.4188565907737689
85,complete,X1,0.18325796745551906
86,complete,X1,0.5591487409545611
87,complete,X1,0.17081558848334896
88,complete,X1,0.3068670091349216
89,complete,X1,0.3589794371842278
90,complete,X1,0.3228106516664406
91,complete,X1,0.4092887505204179
92,complete,X1,0.28648024008358364
93,complete,X1,0.18508609209627738
94,complete,X1,0.11729218667334386
95,complete,X1,0.342962573997954
96,complete,X1,0.09478473920551454
97,complete,X1,0.11909838550108712
98,complete,X1,0.26227616395801456
99,complete,X1,0.2577726269291977
100,cc,X1,0.11989230445185763
101,cc,X1,0.22892388131805297
102,cc,X1,0.26197280889203456
103,cc,X1,0.18190954942563642
104,cc,X1,0.33960266510928094
105,cc,X1,0.27753282122167267
106,cc,X1,0.4969206357628093
107,cc,X1,0.35196145436715304
108,cc,X1,0.4295995582608288
109,cc,X1,0.3625636819941589
110,cc,X1,0.12440831327205747
111,cc,X1,0.2011263670344225
112,cc,X1,0.2538762992250475
113,cc,X1,0.3261187011194568
114,cc,X1,0.20767308124967043
115,cc,X1,-0.011305060321001726
116,cc,X1,0.36067040909952863
117,cc,X1,0.20059038231790305
118,cc,X1,0.30000571490053196
119,cc,X1,0.2082533367435754
120,cc,X1,0.34281813879647094
121,cc,X1,0.27108613051226405
122,cc,X1,0.1432801637305802
123,cc,X1,0.27481639630845733
124,cc,X1,0.09957552132587848
125,cc,X1,0.2621994529630159
126,cc,X1,0.43390671224819855
127,cc,X1,0.277192721852614
128,cc,X1,0.332261066176164
129,cc,X1,0.41918140232954215
130,cc,X1,0.18013898773554443
131,cc,X1,0.19955531250259756
132,cc,X1,0.066100436843571
133,cc,X1,0.3005470285031589
134,cc,X1,0.34798306474145724
135,cc,X1,0.33892667857450565
136,cc,X1,0.41995719176559687
137,cc,X1,0.23304669764963312
138,cc,X1,0.3659207136956538
139,cc,X1,0.04125926416200128
140,cc,X1,0.2453634839783964
141,cc,X1,0.3056932771809725
142,cc,X1,0.32311234833197533
143,cc,X1,0.28542644004006623
144,cc,X1,0.18670539889549567
145,cc,X1,0.3088029879945768
146,cc,X1,0.462424030086575
147,cc,X1,0.48279270204305197
148,cc,X1,0.1914993100719607
149,cc,X1,0.25473398463924
150,cc,X1,0.3515759306593981
151,cc,X1,0.324140735446366
152,cc,X1,0.3330828409991983
153,cc,X1,0.36321508874668557
154,cc,X1,0.34963931973600376
155,cc,X1,0.308010433052431
156,cc,X1,0.2955718292138475
157,cc,X1,0.36658127460004986
158,cc,X1,0.22222034962101594
159,cc,X1,0.2758971024821872
160,cc,X1,0.13676396296701382
161,cc,X1,0.156546837578275
162,cc,X1,0.3212736841849954
163,cc,X1,0.1210235780372252
164,cc,X1,0.34183949433323957
165,cc,X1,0.23280526201998764
166,cc,X1,0.16883100238840998
167,cc,X1,0.28276248347064215
168,cc,X1,0.3295591980963095
169,cc,X1,0.1353686227027139
170,cc,X1,0.29983972105988543
171,cc,X1,0.16737781843199304
172,cc,X1,0.33482035690600537
173,cc,X1,0.3135347281442468
174,cc,X1,0.2962986669933729
175,cc,X1,0.23122000329670894
176,cc,X1,0.19766293877806282
177,cc,X1,0.05177848965346124
178,cc,X1,0.37249995289205956
179,cc,X1,0.41323386242335075
180,cc,X1,0.24172993904127468
181,cc,X1,0.43549624366124134
182,cc,X1,0.11259214574575152
183,cc,X1,0.47787179300616006
184,cc,X1,0.322673983511958
185,cc,X1,0.23582253666800335
186,cc,X1,0.19427746772351304
187,cc,X1,0.36479445009781397
188,cc,X1,0.18242651792828296
189,cc,X1,0.24632149502103226
190,cc,X1,0.41875431807294633
191,cc,X1,0.37511327289044943
192,cc,X1,0.27129048281843465
193,cc,X1,0.20396897401657915
194,cc,X1,0.12244519713654488
195,cc,X1,0.408908478622132
196,cc,X1,0.2663353447915249
197,cc,X1,0.2103374704169304
198,cc,X1,0.2637370687984202
199,cc,X1,0.4217045278899849
200,complete,X2,0.42431248051319137
201,complete,X2,0.5110815571508742
202,complete,X2,0.5228864733753289
203,complete,X2,0.496375544323706
204,complete,X2,0.5671043223502119
205,complete,X2,0.4312956672653207
206,complete,X2,0.499072499736995
207,complete,X2,0.4596331711809919
208,complete,X2,0.3985378186286188
209,complete,X2,0.48863024874069577
210,complete,X2,0.5213713894725737
211,complete,X2,0.4704190971944868
212,complete,X2,0.5964170348424442
213,complete,X2,0.4602220510689353
214,complete,X2,0.480348608837551
215,complete,X2,0.4219304427142734
216,complete,X2,0.583022757544529
217,complete,X2,0.4694150985795786
218,complete,X2,0.2401937926114002
219,complete,X2,0.5887413757666984
220,complete,X2,0.5131011849658256
221,complete,X2,0.6336965529874311
222,complete,X2,0.5372337880837033
223,complete,X2,0.30902612106848665
224,complete,X2,0.5200095288348106
225,complete,X2,0.5648285427260042
226,complete,X2,0.48288684556793793
227,complete,X2,0.5748283767740292
228,complete,X2,0.48119956475805414
229,complete,X2,0.33847291251713446
230,complete,X2,0.36569212937911155
231,complete,X2,0.20508285855337444
232,complete,X2,0.5777250122312412
233,complete,X2,0.37445214436054647
234,complete,X2,0.43851775578000834
235,complete,X2,0.5617645818516983
236,complete,X2,0.6583738097834644
237,complete,X2,0.4872834919191958
