,sample,Variable,First Order Effect
0,cc,X1,0.22057413723554084
1,cc,X1,0.3114865506932099
2,cc,X1,0.3006723774999731
3,cc,X1,0.32820931532007086
4,cc,X1,0.3550027117706402
5,cc,X1,0.29545714679282753
6,cc,X1,0.30184019667832446
7,cc,X1,0.21778190495978259
8,cc,X1,0.2168552495020821
9,cc,X1,0.5020440566150297
10,cc,X1,0.34673270773240694
11,cc,X1,0.382571156979235
12,cc,X1,0.2711565200846874
13,cc,X1,0.378874607624855
14,cc,X1,0.30835376676649034
15,cc,X1,0.293877657057559
16,cc,X1,0.3773074418114566
17,cc,X1,0.35036991779394977
18,cc,X1,0.3310312763469916
19,cc,X1,0.37918095531330415
20,cc,X1,0.35455519764181725
21,cc,X1,0.33456274791949625
22,cc,X1,0.2481873440665562
23,cc,X1,0.2971884644253858
24,cc,X1,0.28749645201771984
25,cc,X1,0.22495510296080726
26,cc,X1,0.3254667053673828
27,cc,X1,0.26313599064469967
28,cc,X1,0.27472875429896987
29,cc,X1,0.29349814265343066
30,cc,X1,0.37370199287762224
31,cc,X1,0.2526196408591314
32,cc,X1,0.2581021722487313
33,cc,X1,0.26675657019208193
34,cc,X1,0.28188286303097065
35,cc,X1,0.24491406370358101
36,cc,X1,0.38641962071998154
37,cc,X1,0.32745784582574666
38,cc,X1,0.23775045941397813
39,cc,X1,0.41561675358401173
40,cc,X1,0.31229621415166653
41,cc,X1,0.20677798521416516
42,cc,X1,0.19335362041594256
43,cc,X1,0.1710998781839687
44,cc,X1,0.19502049473303787
45,cc,X1,0.33025123924373423
46,cc,X1,0.28931624786662163
47,cc,X1,0.29236399944224745
48,cc,X1,0.38048931042086886
49,cc,X1,0.362377975478096
50,cc,X1,0.2048628251378444
51,cc,X1,0.3557900908891347
52,cc,X1,0.3094661332997999
53,cc,X1,0.32517339124551053
54,cc,X1,0.33877974005806866
55,cc,X1,0.31416481346872566
56,cc,X1,0.22443772387250863
57,cc,X1,0.301743676281848
58,cc,X1,0.2741488987231015
59,cc,X1,0.29816519574754413
60,cc,X1,0.19282632481204107
61,cc,X1,0.33521385592019626
62,cc,X1,0.3458587572801703
63,cc,X1,0.4269647545477214
64,cc,X1,0.28078020442604384
65,cc,X1,0.2939972054286147
66,cc,X1,0.3351954543556436
67,cc,X1,0.3183372108208594
68,cc,X1,0.29439933275398117
69,cc,X1,0.2152274004461874
70,cc,X1,0.3601590697938335
71,cc,X1,0.398764550514079
72,cc,X1,0.2856712938866578
73,cc,X1,0.33537546692270387
74,cc,X1,0.3132720734304401
75,cc,X1,0.19162072221075943
76,cc,X1,0.27015481451709505
77,cc,X1,0.2529140057696896
78,cc,X1,0.25565914609457935
79,cc,X1,0.4045837438175492
80,cc,X1,0.26594586928224195
81,cc,X1,0.4398036582768475
82,cc,X1,0.26885890541672647
83,cc,X1,0.14864418280879074
84,cc,X1,0.23957016902424688
85,cc,X1,0.2543043058191171
86,cc,X1,0.28637935817033683
87,cc,X1,0.3634751959957228
88,cc,X1,0.22461848611669533
89,cc,X1,0.35797509717613385
90,cc,X1,0.2612754856236031
91,cc,X1,0.3738578114891145
92,cc,X1,0.23929287150210807
93,cc,X1,0.3035626353898022
94,cc,X1,0.36006347205336553
95,cc,X1,0.2875566193472479
96,cc,X1,0.3267961405921711
97,cc,X1,0.26203404090301685
98,cc,X1,0.35340020089055046
99,cc,X1,0.3697344469667877
100,cc,X1,0.29732242636155914
101,cc,X1,0.3986741867504684
102,cc,X1,0.3108533361072126
103,cc,X1,0.13843904748565877
104,cc,X1,0.2891663095908379
105,cc,X1,0.34298028447436407
106,cc,X1,0.4258168984273017
107,cc,X1,0.2664113266133634
108,cc,X1,0.35356048063250267
109,cc,X1,0.3094491185706035
110,cc,X1,0.3004186113260055
111,cc,X1,0.39787786500474454
112,cc,X1,0.22217519765321828
113,cc,X1,0.26907406185114696
114,cc,X1,0.29685247856085323
115,cc,X1,0.34206564110152216
116,cc,X1,0.3118784632228572
117,cc,X1,0.16967243469588547
118,cc,X1,0.29820096050796946
119,cc,X1,0.2787963936814867
120,cc,X1,0.24728831294737913
121,cc,X1,0.36029514782297695
122,cc,X1,0.19957822002109604
123,cc,X1,0.46086370605619226
124,cc,X1,0.31684776020971744
125,cc,X1,0.24805215401889572
126,cc,X1,0.3077234822928409
127,cc,X1,0.40458371305152135
128,cc,X1,0.19803865862305908
129,cc,X1,0.21547350109200425
130,cc,X1,0.28075971717259907
131,cc,X1,0.3299089605634051
132,cc,X1,0.17253691093567305
133,cc,X1,0.18606168696407174
134,cc,X1,0.2111837725966097
135,cc,X1,0.2864536821700039
136,cc,X1,0.24580386719816585
137,cc,X1,0.28013482784359944
138,cc,X1,0.28242600783566063
139,cc,X1,0.22835656178076896
140,cc,X1,0.17751622166841535
141,cc,X1,0.3427677546461188
142,cc,X1,0.384687137048641
143,cc,X1,0.36899225330169577
144,cc,X1,0.3741922384937326
145,cc,X1,0.27164558982753734
146,cc,X1,0.3609567583573083
147,cc,X1,0.29221845382193384
148,cc,X1,0.3372937877408478
149,cc,X1,0.32785784069245627
150,cc,X1,0.34184120518791994
151,cc,X1,0.28319842552077734
152,cc,X1,0.19902905550407812
153,cc,X1,0.3704226775810342
154,cc,X1,0.19365614323746333
155,cc,X1,0.33145128359811077
156,cc,X1,0.3084833063393245
157,cc,X1,0.29019147850935356
158,cc,X1,0.37456786229442457
159,cc,X1,0.18118528148303195
160,cc,X1,0.4747219107471841
161,cc,X1,0.3958966973163038
162,cc,X1,0.21303655659968082
163,cc,X1,0.32984466829443343
164,cc,X1,0.35290091859657097
165,cc,X1,0.3202023553765789
166,cc,X1,0.3861945220079698
167,cc,X1,0.3548650730027688
168,cc,X1,0.19847252170635604
169,cc,X1,0.48176042520212015
170,cc,X1,0.2898497346084409
171,cc,X1,0.2789920907738147
172,cc,X1,0.42554761247040307
173,cc,X1,0.3224834136580689
174,cc,X1,0.28617864237419155
175,cc,X1,0.37919470768834873
176,cc,X1,0.2825127241681118
177,cc,X1,0.3046685188623022
178,cc,X1,0.2287631270704378
179,cc,X1,0.35252296948543854
180,cc,X1,0.2584585785462134
181,cc,X1,0.2914458421717842
182,cc,X1,0.293055101106908
183,cc,X1,0.14087422833327376
184,cc,X1,0.3835978011167649
185,cc,X1,0.41529751582784796
186,cc,X1,0.3060783343006487
187,cc,X1,0.32065639271010604
188,cc,X1,0.16151133948810414
189,cc,X1,0.3323195827178637
190,cc,X1,0.3408138121842132
191,cc,X1,0.22375294129506287
192,cc,X1,0.18083784894928842
193,cc,X1,0.3824602257331754
194,cc,X1,0.42723653464091865
195,cc,X1,0.24399380152771336
196,cc,X1,0.22931732523446566
197,cc,X1,0.3698979058754788
