,sample,Variable,First Order Effect
0,complete,X1,0.2449930514717078
1,complete,X1,0.23004005461836174
2,complete,X1,0.6305556187897426
3,complete,X1,0.43011289036036043
4,complete,X1,0.12187325783990512
5,complete,X1,0.1984999021234484
6,complete,X1,0.40301216193019723
7,complete,X1,0.21320459186406052
8,complete,X1,0.3986518996450586
9,complete,X1,0.3737314813939094
10,complete,X1,0.35006605026565807
11,complete,X1,0.48790096219841206
12,complete,X1,0.29108350916867365
13,complete,X1,0.3830873993982168
14,complete,X1,0.192094817131268
15,complete,X1,0.49166092970021824
16,complete,X1,0.3893981018047753
17,complete,X1,0.23745358557191992
18,complete,X1,0.11905358446374861
19,complete,X1,0.10306501414295065
20,complete,X1,0.3441717908010737
21,complete,X1,0.3382674416640593
22,complete,X1,0.22914768602696434
23,complete,X1,0.4357436062068062
24,complete,X1,0.22185027236697613
25,complete,X1,0.297508415759863
26,complete,X1,0.23922556027774197
27,complete,X1,0.31370670013480545
28,complete,X1,0.10079404304391705
29,complete,X1,0.1757825293080788
30,complete,X1,0.30358090361235934
31,complete,X1,0.3041178269092971
32,complete,X1,0.4469173717341075
33,complete,X1,0.23264696145911887
34,complete,X1,0.18383468733048622
35,complete,X1,0.16674692462640572
36,complete,X1,0.2893250903007047
37,complete,X1,0.3499516275357984
38,complete,X1,0.14911951626787165
39,complete,X1,0.3500603016133762
40,complete,X1,0.2992887374108803
41,complete,X1,0.2759593522586605
42,complete,X1,0.20488684588715278
43,complete,X1,0.10186643966740624
44,complete,X1,0.35414190815617536
45,complete,X1,0.17611205688770126
46,complete,X1,-0.021974939560740148
47,complete,X1,0.3721617650383051
48,complete,X1,0.05750875690732777
49,complete,X1,0.27326002175798836
50,complete,X1,0.2401239268056354
51,complete,X1,0.15857894465763708
52,complete,X1,0.2810541075020765
53,complete,X1,0.42505303681422546
54,complete,X1,0.2910024551979009
55,complete,X1,0.16769994542326014
56,complete,X1,0.3347731872725472
57,complete,X1,0.32234413677589985
