,sample,Variable,First Order Effect
0,complete,X1_X2,0.8211106016377564
1,complete,X1_X2,0.7963297958256697
2,complete,X1_X2,0.8244759522830034
3,complete,X1_X2,0.8341363976184901
4,complete,X1_X2,0.8061737497747016
5,complete,X1_X2,0.810686414345126
6,complete,X1_X2,0.7897621623205331
7,complete,X1_X2,0.8058872710452931
8,complete,X1_X2,0.8016332250008724
9,complete,X1_X2,0.8199274900544332
10,complete,X1_X2,0.8147241178233016
11,complete,X1_X2,0.825988776094274
12,complete,X1_X2,0.8340636287223591
13,complete,X1_X2,0.7941953985775404
14,complete,X1_X2,0.7981951913478053
15,complete,X1_X2,0.8108630656261863
16,complete,X1_X2,0.8103674852089607
17,complete,X1_X2,0.7871260393917294
18,complete,X1_X2,0.8216347061544653
19,complete,X1_X2,0.8391743138317601
20,complete,X1_X2,0.8131095639013803
21,complete,X1_X2,0.8342817820419217
22,complete,X1_X2,0.7972072084648274
23,complete,X1_X2,0.8061220931875135
24,complete,X1_X2,0.8278897878595874
25,complete,X1_X2,0.8103477880618238
26,complete,X1_X2,0.8309591735432789
27,complete,X1_X2,0.8616841775698754
28,complete,X1_X2,0.8126731753028668
29,complete,X1_X2,0.7963588040002793
30,complete,X1_X2,0.8097124151514139
31,complete,X1_X2,0.8222835606725666
32,complete,X1_X2,0.8357691006214384
33,complete,X1_X2,0.8149197002737691
34,complete,X1_X2,0.8172703694945354
35,complete,X1_X2,0.8183054592961503
36,complete,X1_X2,0.813507839933643
37,complete,X1_X2,0.7911770465275929
38,complete,X1_X2,0.8311836024834468
39,complete,X1_X2,0.8048717088631128
40,complete,X1_X2,0.807607777005616
41,complete,X1_X2,0.817962116983997
42,complete,X1_X2,0.790065816859129
43,complete,X1_X2,0.8326963869472355
44,complete,X1_X2,0.7913428701481895
45,complete,X1_X2,0.784174566975909
46,complete,X1_X2,0.8422752146764443
47,complete,X1_X2,0.8074201811184427
48,complete,X1_X2,0.8098405275201889
49,complete,X1_X2,0.7876979936032091
50,complete,X1_X2,0.8058440376494217
51,complete,X1_X2,0.8095785534586075
52,complete,X1_X2,0.8228162420922667
53,complete,X1_X2,0.8050534902966293
54,complete,X1_X2,0.8138132155672884
55,complete,X1_X2,0.7885326341265112
56,complete,X1_X2,0.8022125888758171
57,complete,X1_X2,0.7959721357108017
58,complete,X1_X2,0.8105861633912347
59,complete,X1_X2,0.8481834505401858
60,complete,X1_X2,0.8080885351354832
61,complete,X1_X2,0.8003711250172344
62,complete,X1_X2,0.8214534910726712
63,complete,X1_X2,0.8163750186052018
64,complete,X1_X2,0.7897609300050421
65,complete,X1_X2,0.8277065674714614
66,complete,X1_X2,0.8037082513370135
67,complete,X1_X2,0.8433965602700547
68,complete,X1_X2,0.7948350913769653
69,complete,X1_X2,0.8026905923242286
70,complete,X1_X2,0.8175288833718235
71,complete,X1_X2,0.8025576617898819
72,complete,X1_X2,0.8068321183095677
73,complete,X1_X2,0.8429997188878103
74,complete,X1_X2,0.8255977564355069
75,complete,X1_X2,0.8291016993749626
76,complete,X1_X2,0.8129416295260369
77,complete,X1_X2,0.8145307961434324
78,complete,X1_X2,0.8055564029581003
79,complete,X1_X2,0.8375249721886805
80,complete,X1_X2,0.8185426961366788
81,complete,X1_X2,0.8030554165155571
82,complete,X1_X2,0.7841422192780526
83,complete,X1_X2,0.8085114928122379
84,complete,X1_X2,0.7919542481784638
85,complete,X1_X2,0.7997218675662378
86,complete,X1_X2,0.8037301334550346
87,complete,X1_X2,0.8023357166346983
88,complete,X1_X2,0.821246805643548
89,complete,X1_X2,0.8032284956084517
90,complete,X1_X2,0.7977051073389635
91,complete,X1_X2,0.819166050269444
92,complete,X1_X2,0.817305274215513
93,complete,X1_X2,0.8165647840977023
94,complete,X1_X2,0.7922759513050489
95,complete,X1_X2,0.8121564274163918
96,complete,X1_X2,0.8409475607002401
97,complete,X1_X2,0.815058922227582
98,complete,X1_X2,0.7993723043534132
99,complete,X1_X2,0.8272809438037002
100,complete,X1_X2,0.7886355624573351
101,complete,X1_X2,0.8120621077744987
102,complete,X1_X2,0.8203026899789527
103,complete,X1_X2,0.8192849510011897
104,complete,X1_X2,0.7954086614687539
105,complete,X1_X2,0.7846128000106826
106,complete,X1_X2,0.8402147356173193
107,complete,X1_X2,0.8222666176647896
108,complete,X1_X2,0.8065590974056547
109,complete,X1_X2,0.830388292139806
110,complete,X1_X2,0.8079902593246495
111,complete,X1_X2,0.8155156076590696
112,complete,X1_X2,0.7882766084456427
113,complete,X1_X2,0.8288732299429531
114,complete,X1_X2,0.8340287995895028
115,complete,X1_X2,0.8156166539746839
116,complete,X1_X2,0.8496310391231404
117,complete,X1_X2,0.7850198942263917
118,complete,X1_X2,0.8027588474161349
119,complete,X1_X2,0.8139084796869527
120,complete,X1_X2,0.7859121801207986
121,complete,X1_X2,0.8096570066159569
122,complete,X1_X2,0.8366442463319829
123,complete,X1_X2,0.8021814780239077
124,complete,X1_X2,0.802819755848861
125,complete,X1_X2,0.8248681136346094
126,complete,X1_X2,0.8161281041174523
127,complete,X1_X2,0.8184811657186927
128,complete,X1_X2,0.8048160125786046
129,complete,X1_X2,0.7995044691755782
130,complete,X1_X2,0.8129029752212373
131,complete,X1_X2,0.8086503010144225
132,complete,X1_X2,0.8352271115948162
133,complete,X1_X2,0.7986670792950383
134,complete,X1_X2,0.83537570547146
135,complete,X1_X2,0.8210608414897004
136,complete,X1_X2,0.7945708370476818
137,complete,X1_X2,0.8159193795389703
138,complete,X1_X2,0.8165783464189277
139,complete,X1_X2,0.8263729509532429
140,complete,X1_X2,0.8095059384494407
141,complete,X1_X2,0.8065901619748781
142,complete,X1_X2,0.8330187202467666
143,complete,X1_X2,0.835730086118848
144,complete,X1_X2,0.8236799142032796
145,complete,X1_X2,0.8239238450715222
146,complete,X1_X2,0.8354520086821042
147,complete,X1_X2,0.839233943729187
148,complete,X1_X2,0.819647720404098
149,complete,X1_X2,0.8255609152666327
150,complete,X1_X2,0.7749910314503662
151,complete,X1_X2,0.8069028304421564
152,complete,X1_X2,0.8181277262722132
153,complete,X1_X2,0.8357463190837527
154,complete,X1_X2,0.847517888255415
155,complete,X1_X2,0.8344397355880356
156,complete,X1_X2,0.8383418412456048
157,complete,X1_X2,0.8101136226413858
158,complete,X1_X2,0.8167320281521104
159,complete,X1_X2,0.8070532368923514
160,complete,X1_X2,0.8162020650488483
161,complete,X1_X2,0.815222640455298
162,complete,X1_X2,0.8021516389972356
163,complete,X1_X2,0.7925001664225082
164,complete,X1_X2,0.8036820900369577
165,complete,X1_X2,0.8257111636746337
166,complete,X1_X2,0.8246028286469025
167,complete,X1_X2,0.8281894803182274
168,complete,X1_X2,0.8134797243362112
169,complete,X1_X2,0.8218873012453204
170,complete,X1_X2,0.8240646924956222
171,complete,X1_X2,0.8206100437571303
172,complete,X1_X2,0.7932368251893565
173,complete,X1_X2,0.8103593149830857
174,complete,X1_X2,0.8124974737593466
175,complete,X1_X2,0.8113441241220892
176,complete,X1_X2,0.7997548339356687
177,complete,X1_X2,0.8398397586026101
178,complete,X1_X2,0.8281869112131693
179,complete,X1_X2,0.799549771974414
180,complete,X1_X2,0.814288886052546
181,complete,X1_X2,0.8279200767179997
182,complete,X1_X2,0.7676440762335973
183,complete,X1_X2,0.7873067414362095
184,complete,X1_X2,0.8157743999006649
185,complete,X1_X2,0.8029652351638908
186,complete,X1_X2,0.8144860536991331
187,complete,X1_X2,0.8194880488791051
188,complete,X1_X2,0.8021218539146779
189,complete,X1_X2,0.8271214962227175
190,complete,X1_X2,0.8337298312074495
191,complete,X1_X2,0.8232594649638996
192,complete,X1_X2,0.8376132812875915
193,complete,X1_X2,0.797241034080098
194,complete,X1_X2,0.8247005841566951
195,complete,X1_X2,0.8120636069473826
196,complete,X1_X2,0.8354395245938052
197,complete,X1_X2,0.8214434839641305
198,complete,X1_X2,0.8077698871343514
199,complete,X1_X2,0.8059999102026407
200,complete,X1_X2,0.807849766599596
201,complete,X1_X2,0.819539760139792
202,complete,X1_X2,0.8136021199709395
203,complete,X1_X2,0.8219656145603516
204,complete,X1_X2,0.7967719942889118
205,complete,X1_X2,0.8008794545908515
206,complete,X1_X2,0.8076642104194205
207,complete,X1_X2,0.8090834794567977
208,complete,X1_X2,0.803106140514135
209,complete,X1_X2,0.8003554502051418
210,complete,X1_X2,0.842016032672465
211,complete,X1_X2,0.7947413245609127
212,complete,X1_X2,0.8052132050504394
213,complete,X1_X2,0.8079341966966285
214,complete,X1_X2,0.782984560064771
215,complete,X1_X2,0.8100850477826536
216,complete,X1_X2,0.7972269225970001
217,complete,X1_X2,0.8053534643741052
218,complete,X1_X2,0.8045305934198588
219,complete,X1_X2,0.8390110795053612
220,complete,X1_X2,0.8101634605976933
221,complete,X1_X2,0.8261489154215764
222,complete,X1_X2,0.8185755568439038
223,complete,X1_X2,0.8190029499203058
224,complete,X1_X2,0.811634778058923
225,complete,X1_X2,0.8073065977425684
226,complete,X1_X2,0.8149555349343314
227,complete,X1_X2,0.7919054337000203
228,complete,X1_X2,0.8013310667815566
229,complete,X1_X2,0.8044851781899057
