,sample,Variable,First Order Effect
0,complete,X1,0.2530629951597906
1,complete,X1,0.3203746978292666
2,complete,X1,0.3117970858452132
3,complete,X1,0.2844079829658917
4,complete,X1,0.24680644474083574
5,complete,X1,0.34451655858097235
6,complete,X1,0.342270281854432
7,complete,X1,0.3009361613941908
8,complete,X1,0.2512378645531358
9,complete,X1,0.2503231547412113
10,complete,X1,0.3313369124696997
11,complete,X1,0.2702414521272055
12,complete,X1,0.3227865659934004
13,complete,X1,0.3444750276183637
14,complete,X1,0.2824200241050315
15,complete,X1,0.2941889754695987
16,complete,X1,0.2610331632070242
17,complete,X1,0.31619861352813255
18,complete,X1,0.24623329842357028
19,complete,X1,0.23574931152488557
20,complete,X1,0.30218798807059954
21,complete,X1,0.32301941248932003
22,complete,X1,0.3199611351785193
23,complete,X1,0.32814397203706486
24,complete,X1,0.29962827606789993
25,complete,X1,0.23295920383985025
26,complete,X1,0.36053840966049666
27,complete,X1,0.31204358146622485
28,complete,X1,0.2970699278409069
29,complete,X1,0.27682582639877107
30,complete,X1,0.2935410424252349
31,complete,X1,0.26605969586299094
32,complete,X1,0.3040289696877174
33,complete,X1,0.28965551649737625
34,complete,X1,0.29651091864473356
35,complete,X1,0.2886066844363277
36,complete,X1,0.29166026375157017
37,complete,X1,0.3327852156893588
38,complete,X1,0.3354027926370036
39,complete,X1,0.33365827111133756
40,complete,X1,0.32622274007484314
41,complete,X1,0.2289226871015149
42,complete,X1,0.2735074629313606
43,complete,X1,0.32779986895477903
44,complete,X1,0.3107412164515908
45,complete,X1,0.3501957205145231
46,complete,X1,0.3087894933181882
47,complete,X1,0.29407175454993917
48,complete,X1,0.32444366266933294
49,complete,X1,0.2541596547036925
50,complete,X1,0.3101166236346906
51,complete,X1,0.31496526550837034
52,complete,X1,0.3155381774173736
53,complete,X1,0.29049140802143764
54,complete,X1,0.30184484662468236
55,complete,X1,0.2925794550499315
56,complete,X1,0.27249926100924543
57,complete,X1,0.38020716525474835
58,complete,X1,0.3147098484756323
59,complete,X1,0.2535206136463584
60,complete,X1,0.3362589136237623
61,complete,X1,0.3494575803431617
62,complete,X1,0.3151302154028584
63,complete,X1,0.2789476245706236
64,complete,X1,0.33772588473569504
65,complete,X1,0.3281697682103455
66,complete,X1,0.30635536300829974
67,complete,X1,0.33459766137303243
68,complete,X1,0.3349893553811437
69,complete,X1,0.34005029457734953
70,complete,X1,0.3249655717782854
71,complete,X1,0.32027891728005176
72,complete,X1,0.27079689699200626
73,complete,X1,0.22753331442410515
74,complete,X1,0.31571358294720403
75,complete,X1,0.31932061951857216
76,complete,X1,0.3314232536876108
77,complete,X1,0.3112232278686709
78,complete,X1,0.24805987032602161
79,complete,X1,0.19420947442281358
80,complete,X1,0.35073771842896373
81,complete,X1,0.2945240865092753
82,complete,X1,0.24721526579108233
83,complete,X1,0.26284222482051195
84,complete,X1,0.30614270226820844
85,complete,X1,0.2813468213494422
86,complete,X1,0.3057687988371269
87,complete,X1,0.2974084567416091
88,complete,X1,0.3203929269541117
89,complete,X1,0.27268516174307733
90,complete,X1,0.32419633293122263
91,complete,X1,0.29649652633371004
92,complete,X1,0.30457130318393183
93,complete,X1,0.32520068339846364
94,complete,X1,0.24355628471430782
95,complete,X1,0.317474102274162
96,complete,X1,0.31118702783472346
97,complete,X1,0.3060469039738384
98,complete,X1,0.2933311857269896
99,complete,X1,0.32222481633078387
100,complete,X1,0.23787721005152335
101,complete,X1,0.29878796482506675
102,complete,X1,0.3548533505597216
103,complete,X1,0.27257340140050107
104,complete,X1,0.30218523960959787
105,complete,X1,0.28817505024827395
106,complete,X1,0.3344253531862753
107,complete,X1,0.3198584016644749
108,complete,X1,0.2974043016406284
109,complete,X1,0.3116503700269585
110,complete,X1,0.31602745824443423
111,complete,X1,0.40291324079782326
112,complete,X1,0.3339387029340778
113,complete,X1,0.24713371880046603
114,complete,X1,0.2570716864418344
115,complete,X1,0.28285491960913633
116,complete,X1,0.2427190413358307
117,complete,X1,0.2945408909215475
118,complete,X1,0.2896478522714083
119,complete,X1,0.3148226538149547
120,complete,X1,0.3039970146511097
121,complete,X1,0.3565777910655126
122,complete,X1,0.30290873372513827
123,complete,X1,0.260800373718068
124,complete,X1,0.3946251584294963
125,complete,X1,0.33761553033398545
126,complete,X1,0.27589868381834065
127,complete,X1,0.2705666495298101
128,complete,X1,0.3131928457590588
129,complete,X1,0.2837286460948829
130,complete,X1,0.3050755147054469
131,complete,X1,0.3801799443687229
132,complete,X1,0.3362485371552695
133,complete,X1,0.36008252437290433
134,complete,X1,0.33359020190989946
135,complete,X1,0.3209885875617067
136,complete,X1,0.2596862720334552
137,complete,X1,0.37689808730858837
138,complete,X1,0.27544730752047997
139,complete,X1,0.3334085280258996
140,complete,X1,0.281530711605321
141,complete,X1,0.32589584087022594
142,complete,X1,0.2973221753617797
143,complete,X1,0.3394115485153569
144,complete,X1,0.31294543475966846
145,complete,X1,0.3263263558642311
146,complete,X1,0.2904815199392062
147,complete,X1,0.2797448118681715
148,complete,X1,0.2786981822538886
149,complete,X1,0.3080996372083218
150,complete,X1,0.2847099521137198
151,complete,X1,0.26985128373978146
152,complete,X1,0.2865061867731577
153,complete,X1,0.3129515491231217
154,complete,X1,0.26125052027112733
155,complete,X1,0.294951251823747
156,complete,X1,0.29024254969403046
157,complete,X1,0.2445716016840118
158,complete,X1,0.3283694868738329
159,complete,X1,0.3072072631126649
160,complete,X1,0.34075838383114626
161,complete,X1,0.292092067242568
162,complete,X1,0.3332691068919699
163,complete,X1,0.2842588776443781
164,complete,X1,0.29033184904299336
165,complete,X1,0.2672322735853272
166,complete,X1,0.27263844434691953
167,complete,X1,0.32368636694032754
168,complete,X1,0.2794006109913804
169,complete,X1,0.3698638508300954
170,complete,X1,0.29403565779222524
171,complete,X1,0.2650639317257247
172,complete,X1,0.32278901272520155
173,complete,X1,0.2765279781490529
174,complete,X1,0.3109031920776976
175,complete,X1,0.35963738564281705
176,complete,X1,0.3471877361242418
177,complete,X1,0.30310622091862877
178,complete,X1,0.3181307488675196
179,complete,X1,0.33492205428281335
180,complete,X1,0.3633101157978752
181,complete,X1,0.29641788701528043
182,complete,X1,0.276477490731894
183,complete,X1,0.3018649369918337
184,complete,X1,0.30673701081214255
185,complete,X1,0.25527233679500827
186,complete,X1,0.27965782941659556
187,complete,X1,0.3545679930088294
188,complete,X1,0.34953736463114204
189,complete,X1,0.3785568859112064
190,complete,X1,0.24962866282119892
191,complete,X1,0.3405701448792853
192,complete,X1,0.27756742193048045
193,complete,X1,0.3577039710839886
194,complete,X1,0.291815372820863
195,complete,X1,0.3601370229043506
196,complete,X1,0.30637760665945446
197,complete,X1,0.2975721189914221
198,complete,X1,0.3503342699604267
199,complete,X1,0.3482853424617927
200,complete,X1,0.29339363647712885
201,complete,X1,0.3170469215287122
202,complete,X1,0.34402996199831776
203,complete,X1,0.3051518386506484
204,complete,X1,0.2810201229359891
205,complete,X1,0.3204475490213645
206,complete,X1,0.3750636875693352
