,sample,Variable,First Order Effect
0,complete,X1,0.27592206880536296
1,complete,X1,0.28003541482422334
2,complete,X1,0.21399241162731844
3,complete,X1,0.1433134748241691
4,complete,X1,0.28596654542796635
5,complete,X1,0.19425526072972496
6,complete,X1,0.187687228756119
7,complete,X1,0.36903695147034066
8,complete,X1,0.4877455279773502
9,complete,X1,0.1346117310747609
10,complete,X1,0.5341390672752306
11,complete,X1,0.45459847208078735
12,complete,X1,0.28685629712589195
13,complete,X1,-0.03715957991431244
14,complete,X1,0.10494530660019534
15,complete,X1,0.4339568371949668
16,complete,X1,0.284211133419217
17,complete,X1,0.26575884018656837
18,complete,X1,0.08777598414424129
19,complete,X1,0.2638952504107567
20,complete,X1,0.39252497118069785
21,complete,X1,0.4173518295818488
22,complete,X1,0.2493064169388528
23,complete,X1,0.2262278570602265
24,complete,X1,0.20974369140546537
25,complete,X1,0.41220041456196116
26,complete,X1,0.2413448334713594
27,complete,X1,0.29678110705633926
28,complete,X1,0.05465271254605441
29,complete,X1,0.3918551172434271
30,complete,X1,0.1956796974420683
31,complete,X1,0.35147993188257737
32,complete,X1,0.33182000498997005
33,complete,X1,0.3805658806655401
34,complete,X1,0.11971274892113423
35,complete,X1,0.4219705160823256
36,complete,X1,0.26923707902092114
37,complete,X1,0.24064518097426607
38,complete,X1,0.39688522537625615
39,complete,X1,0.2806639880706829
40,complete,X1,0.3686722054691695
41,complete,X1,0.3900035290085848
42,complete,X1,0.2737069910024886
43,complete,X1,0.3002610358152185
44,complete,X1,0.42481576549322253
45,complete,X1,0.13271486960942533
46,complete,X1,0.03241289533581592
47,complete,X1,0.5235468341632348
48,complete,X1,0.2928217231963634
49,complete,X1,0.21009118661262763
50,complete,X1,0.41871839668494953
51,complete,X1,0.16011645928848672
52,complete,X1,0.4113277582695625
53,complete,X1,0.2762934519655933
54,complete,X1,0.31481117161078476
55,complete,X1,0.1546313638132571
56,complete,X1,0.46687487283997187
57,complete,X1,0.27496061932063737
58,complete,X1,0.24171455079497955
59,complete,X1,0.3881076248200104
60,complete,X1,0.3107425275558963
61,complete,X1,0.1360809777110637
62,complete,X1,0.2756863512433256
63,complete,X1,0.36874911866574883
64,complete,X1,0.25860882372447414
65,complete,X1,0.45093024277492916
66,complete,X1,0.12797951907968547
67,complete,X1,0.22874764083121346
68,complete,X1,0.20476588030175147
69,complete,X1,0.1945528544184961
70,complete,X1,0.34187613239794823
71,complete,X1,0.12506268957420247
72,complete,X1,0.25379331952705503
73,complete,X1,0.4909302905240988
74,complete,X1,0.36015873090883666
75,complete,X1,0.05379067617263744
76,complete,X1,0.26618610343131643
77,complete,X1,0.2054753022706264
78,complete,X1,0.38802717872895015
79,complete,X1,0.10805325321245632
80,complete,X1,0.10867483773050023
81,complete,X1,0.3459881799916143
82,complete,X1,0.4195186341021947
83,complete,X1,0.2556045597261161
84,complete,X1,0.4434413406217057
85,complete,X1,0.3077263214948965
86,complete,X1,0.17386712281826947
87,complete,X1,0.26036164516604016
88,complete,X1,0.27783322865851484
89,complete,X1,0.37407451851093
90,complete,X1,0.16011514910033986
91,complete,X1,0.3734830481232517
92,complete,X1,0.27567232937580416
93,complete,X1,0.07016443467359978
94,complete,X1,0.5199261384238437
95,complete,X1,0.4737567563436345
96,complete,X1,0.3222562717837527
97,complete,X1,0.17339928647639527
98,complete,X1,0.43167929928331783
99,complete,X1,0.36339462176118864
100,cc,X1,0.3157676477981758
101,cc,X1,0.27834916337510746
102,cc,X1,-0.09766797452548458
103,cc,X1,0.29975657759594726
104,cc,X1,0.06595234754048226
105,cc,X1,0.3914295811831142
106,cc,X1,0.5691758200360281
107,cc,X1,0.2769057551511249
108,cc,X1,0.14314957872506548
109,cc,X1,0.34948265195008593
110,cc,X1,0.18407376800689573
111,cc,X1,0.3632350888065008
112,cc,X1,0.3581248514124488
113,cc,X1,0.32045211627132186
114,cc,X1,0.28237401017140007
115,cc,X1,0.19320188460671156
116,cc,X1,0.2345037446667348
117,cc,X1,0.2787500399514933
118,cc,X1,0.5930034357742665
119,cc,X1,0.08356474924213292
120,cc,X1,0.14912450249375275
121,cc,X1,0.32858683876966605
122,cc,X1,0.335253880705002
123,cc,X1,0.08485102553813191
124,cc,X1,0.10828217555517573
125,cc,X1,0.13477110960852043
126,cc,X1,0.42444463799646365
127,cc,X1,0.30956197626159515
128,cc,X1,0.23703808639543197
129,cc,X1,0.11101507265294916
130,cc,X1,0.3175230591438398
131,cc,X1,0.35663355798331997
132,cc,X1,0.16040579915189299
133,cc,X1,0.11577554532333409
134,cc,X1,0.3013915597670969
135,cc,X1,0.24247113048929322
136,cc,X1,0.2971651226646653
137,cc,X1,0.4671992368206846
138,cc,X1,0.31161617627268057
139,cc,X1,0.11512627489895032
140,cc,X1,0.5021416610222149
141,cc,X1,0.29797777379474866
142,cc,X1,0.36220903361416307
143,cc,X1,0.11938118617324182
144,cc,X1,0.2923364189459939
145,cc,X1,0.12552059292948536
146,cc,X1,0.3986590935322168
147,cc,X1,0.5376791263790142
148,cc,X1,0.20056206789786746
149,cc,X1,0.46233942738077577
150,cc,X1,0.10448911520866573
151,cc,X1,0.14286807640550103
152,cc,X1,0.25294239793911816
153,cc,X1,0.023344455427296306
154,cc,X1,0.2703875517613367
155,cc,X1,0.29971707711077605
156,cc,X1,0.26958236201338875
157,cc,X1,0.23908601674930224
158,cc,X1,0.3128410825036557
159,cc,X1,0.3303814771614407
160,cc,X1,0.43653749276052634
161,cc,X1,0.24365069647642348
162,cc,X1,0.29358970895658926
163,cc,X1,0.3400526737702445
164,cc,X1,0.20879153973534118
165,cc,X1,0.1488058892238163
166,cc,X1,0.38619942131388146
167,cc,X1,0.23134551268038003
168,cc,X1,0.23917879217225804
169,cc,X1,0.2851030838898284
170,cc,X1,0.09300438868135347
171,cc,X1,0.12478935246519607
172,cc,X1,0.3170599824028582
173,cc,X1,0.6035530882600404
174,cc,X1,0.07538261575877767
175,cc,X1,0.45537350275554284
176,cc,X1,0.32941887279201415
177,cc,X1,0.1593568761813705
178,cc,X1,0.35633226505242205
179,cc,X1,0.23983844453235087
180,cc,X1,0.26455407080447335
181,cc,X1,0.725392154175588
182,cc,X1,0.27120834656750953
183,cc,X1,0.41070914167026074
184,cc,X1,0.27295608850814496
185,cc,X1,0.43530494471461467
186,cc,X1,0.331339260282256
187,cc,X1,0.4131117162125646
188,cc,X1,0.120480558535268
189,cc,X1,0.37174847295447516
190,cc,X1,0.3070291351118937
191,cc,X1,0.25372616158647343
192,cc,X1,0.5947433323488287
