,sample,Variable,First Order Effect
0,complete,X1,0.2985068797872891
1,complete,X1,0.28963369799203986
2,complete,X1,0.2920815730310774
3,complete,X1,0.3011037900866601
4,complete,X1,0.2882361432671499
5,complete,X1,0.3031829614676439
6,complete,X1,0.28127249621368317
7,complete,X1,0.2926750406505242
8,complete,X1,0.32206638932567977
9,complete,X1,0.3054688813516301
10,complete,X1,0.3019383792249268
11,complete,X1,0.30254646360575177
12,complete,X1,0.285350298800474
13,complete,X1,0.3096759488519866
14,complete,X1,0.29762116908668274
15,complete,X1,0.29392488790022764
16,complete,X1,0.285956562025616
17,complete,X1,0.2914225172112101
18,complete,X1,0.28590187570333975
19,complete,X1,0.2927209437078593
20,complete,X1,0.3158816939774855
21,complete,X1,0.2810219770225749
22,complete,X1,0.2935869862849437
23,complete,X1,0.2919051458300871
24,complete,X1,0.3029127189164677
25,complete,X1,0.2985603739139991
26,complete,X1,0.2851779342654852
27,complete,X1,0.2834189781104647
28,complete,X1,0.29306330492054655
29,complete,X1,0.29971742168988297
30,complete,X1,0.29973789906492637
31,complete,X1,0.2903619035037611
32,complete,X1,0.2813989127060833
33,complete,X1,0.300897687087458
34,complete,X1,0.31069917492575394
35,complete,X1,0.29296426444729196
36,complete,X1,0.2891080354572516
37,complete,X1,0.33837926156029363
38,complete,X1,0.30904617946275686
39,complete,X1,0.29413250949995173
40,complete,X1,0.2905564067634155
41,complete,X1,0.2789356118310631
42,complete,X1,0.2969330599488255
43,complete,X1,0.30794068059714746
44,complete,X1,0.293918509608462
45,complete,X1,0.2882761328577216
46,complete,X1,0.2886917022854242
47,complete,X1,0.2949807533144384
48,complete,X1,0.2830709603252601
49,complete,X1,0.29208448357729316
50,complete,X1,0.28589399328945836
51,complete,X1,0.3081260352677287
52,complete,X1,0.31385182267285594
53,complete,X1,0.27447102281642505
54,complete,X1,0.30193607497414104
55,complete,X1,0.30678152578383483
56,complete,X1,0.2906154354861743
57,complete,X1,0.27687380799369804
58,complete,X1,0.30097322912255214
59,complete,X1,0.3085826407568328
60,complete,X1,0.30103932550735507
61,complete,X1,0.2857797986107193
62,complete,X1,0.2967933447287016
63,complete,X1,0.29795751058524667
64,complete,X1,0.2958835997784107
65,complete,X1,0.284354205317518
66,complete,X1,0.29605058428095565
67,complete,X1,0.3108126397591178
68,complete,X1,0.3115780737996562
69,complete,X1,0.3200735353060378
70,complete,X1,0.29500131903877325
71,complete,X1,0.2946053664594816
72,complete,X1,0.3150223744768435
73,complete,X1,0.2976622885081862
74,complete,X1,0.2877662925839064
75,complete,X1,0.29332683719143154
76,complete,X1,0.29791783787033715
77,complete,X1,0.2866999694958033
78,complete,X1,0.2999495356466223
79,complete,X1,0.2916074033879441
80,complete,X1,0.2834327610533074
81,complete,X1,0.3146650778759497
82,complete,X1,0.29739608008077123
83,complete,X1,0.3172715317887424
84,complete,X1,0.3279822320685337
85,complete,X1,0.3041011622744919
86,complete,X1,0.29246523943627695
87,complete,X1,0.2936894003141559
88,complete,X1,0.258573250087204
89,complete,X1,0.2923514303072447
90,complete,X1,0.2981397899782336
91,complete,X1,0.3004604408751818
92,complete,X1,0.2957395756918575
93,complete,X1,0.3041127762704317
94,complete,X1,0.29939037440183014
95,complete,X1,0.27196271885360684
96,complete,X1,0.3022234900839193
97,complete,X1,0.3013382021171482
98,complete,X1,0.29236124308034317
99,complete,X1,0.2840183273145416
100,complete,X1,0.3076917476016423
101,complete,X1,0.2967574922585205
102,complete,X1,0.3003464567393939
103,complete,X1,0.3033438581581648
104,complete,X1,0.31141358305864203
105,complete,X1,0.29398573228869995
106,complete,X1,0.29702254971689457
107,complete,X1,0.2929022027752061
108,complete,X1,0.3021384121598527
109,complete,X1,0.2808408463328991
110,complete,X1,0.3034976857958569
111,complete,X1,0.2943352268799804
112,complete,X1,0.2988096013031832
113,complete,X1,0.27726830332206687
114,complete,X1,0.30474729330697303
115,complete,X1,0.2934262871380068
116,complete,X1,0.28979595846637957
117,complete,X1,0.30965091610559553
118,complete,X1,0.3056613280031519
119,complete,X1,0.30472804269208414
120,complete,X1,0.3032028574692323
121,complete,X1,0.2756059945578089
122,complete,X1,0.291541493098693
123,complete,X1,0.30249049974568454
124,complete,X1,0.29889888121027947
125,complete,X1,0.29019699385280395
126,complete,X1,0.2865237162728072
127,complete,X1,0.29169156988509637
128,complete,X1,0.29788523052860333
129,complete,X1,0.29864720899393427
130,complete,X1,0.2922973711764261
131,complete,X1,0.2932770761921443
132,complete,X1,0.307168368560171
133,complete,X1,0.3043877551031997
134,complete,X1,0.3076944186850726
135,complete,X1,0.2858755193280429
136,complete,X1,0.2960319338166302
137,complete,X1,0.32564383486417975
138,complete,X1,0.31238716990087795
139,complete,X1,0.3111540733642839
140,complete,X1,0.2914629104980475
141,complete,X1,0.29927676500098077
142,complete,X1,0.27487042739924605
143,complete,X1,0.2964535898882376
144,complete,X1,0.30454438917288845
145,complete,X1,0.30074683841779454
146,complete,X1,0.296114805176094
147,complete,X1,0.29922777895573177
148,complete,X1,0.2910488965806938
149,complete,X1,0.2847028145878708
150,complete,X1,0.2899781424919228
151,complete,X1,0.2977284877173521
152,complete,X1,0.30278067482875454
153,complete,X1,0.32422074446080323
154,complete,X1,0.2867166496003781
155,complete,X1,0.2959678419956533
156,complete,X1,0.3020775500858789
157,complete,X1,0.3009848213357915
158,complete,X1,0.27760802798163114
159,complete,X1,0.3198268292316848
160,complete,X1,0.31087704315433234
161,complete,X1,0.2930653317724528
162,complete,X1,0.29599641608306015
163,complete,X1,0.31664976792580085
164,complete,X1,0.2804356016615264
165,complete,X1,0.2912577562997799
166,complete,X1,0.2898998812689789
167,complete,X1,0.30178534268671897
168,complete,X1,0.31503804266477226
169,complete,X1,0.29298594145100787
170,complete,X1,0.293818279079981
171,complete,X1,0.3110308233074818
172,complete,X1,0.32284972348724095
173,complete,X1,0.28109983996140864
174,complete,X1,0.31739131474592347
175,complete,X1,0.30781753411716506
176,complete,X1,0.32008788072857236
177,complete,X1,0.3022480624695721
178,complete,X1,0.28741871032728017
179,complete,X1,0.2878056738402261
180,complete,X1,0.2962859391834414
181,complete,X1,0.28178628240798936
182,complete,X1,0.29023485445344643
183,complete,X1,0.3014926761920218
184,complete,X1,0.3047580018431779
185,complete,X1,0.3205784081223606
186,complete,X1,0.27860567702210376
187,complete,X1,0.2916440265592103
188,complete,X1,0.28878612449202046
189,complete,X1,0.31941518098856697
