,sample,Variable,First Order Effect
0,complete,X1_X2,0.8001924274182628
1,complete,X1_X2,0.8046079754916897
2,complete,X1_X2,0.8056450688171004
3,complete,X1_X2,0.8014182249687776
4,complete,X1_X2,0.7995251292679151
5,complete,X1_X2,0.8022196684966945
6,complete,X1_X2,0.7991406665117312
7,complete,X1_X2,0.7969977737827738
8,complete,X1_X2,0.7918680704269334
9,complete,X1_X2,0.798956148077959
10,complete,X1_X2,0.8047686482189444
11,complete,X1_X2,0.7926795405582892
12,complete,X1_X2,0.7994422936532674
13,complete,X1_X2,0.795219873502857
14,complete,X1_X2,0.7971194841966351
15,complete,X1_X2,0.8074544883424815
16,complete,X1_X2,0.801208213936862
17,complete,X1_X2,0.7929426878437605
18,complete,X1_X2,0.7997513292307794
19,complete,X1_X2,0.8002762595668128
20,complete,X1_X2,0.8027154481206985
21,complete,X1_X2,0.8007890051113115
22,complete,X1_X2,0.7990223291216363
23,complete,X1_X2,0.8037717995130552
24,complete,X1_X2,0.806419801603681
25,complete,X1_X2,0.8080763246585069
26,complete,X1_X2,0.8032728674803601
27,complete,X1_X2,0.7954338568206636
28,complete,X1_X2,0.7990870381216767
29,complete,X1_X2,0.7995085287046414
30,complete,X1_X2,0.8009805044071934
31,complete,X1_X2,0.7913819818807768
32,complete,X1_X2,0.7962340348381928
33,complete,X1_X2,0.7980933746942755
34,complete,X1_X2,0.7955541885172477
35,complete,X1_X2,0.799395396337133
36,complete,X1_X2,0.7960016289237825
37,complete,X1_X2,0.7894532538953578
38,complete,X1_X2,0.8001589200027857
39,complete,X1_X2,0.8051601921024314
40,complete,X1_X2,0.8057739511981503
41,complete,X1_X2,0.7966848276612721
42,complete,X1_X2,0.8014793066257141
43,complete,X1_X2,0.7953244503556929
44,complete,X1_X2,0.8091934451556279
45,complete,X1_X2,0.8050933807122514
46,complete,X1_X2,0.7866624941478185
47,complete,X1_X2,0.7938222964431055
48,complete,X1_X2,0.7914354075201043
49,complete,X1_X2,0.8042199345989332
50,complete,X1_X2,0.807025997307676
51,complete,X1_X2,0.8021056706845413
52,complete,X1_X2,0.8069439560971214
53,complete,X1_X2,0.801397992746725
54,complete,X1_X2,0.798662033279559
55,complete,X1_X2,0.7928350784594841
56,complete,X1_X2,0.796448102616122
57,complete,X1_X2,0.7942936692210941
58,complete,X1_X2,0.7948536804083235
59,complete,X1_X2,0.7967012150715481
60,complete,X1_X2,0.7989205918567559
61,complete,X1_X2,0.8058673863236556
62,complete,X1_X2,0.793882934455219
63,complete,X1_X2,0.7929124703374436
64,complete,X1_X2,0.7987813560668269
65,complete,X1_X2,0.7962158310529104
66,complete,X1_X2,0.7986315082156851
67,complete,X1_X2,0.8029670479309751
68,complete,X1_X2,0.801733110849486
69,complete,X1_X2,0.7994387152900124
70,complete,X1_X2,0.7968872006763589
71,complete,X1_X2,0.8004294914616896
72,complete,X1_X2,0.7980462929804226
73,complete,X1_X2,0.7989932718002628
74,complete,X1_X2,0.7966531029150288
75,complete,X1_X2,0.7972997392652128
76,complete,X1_X2,0.8039664626525975
77,complete,X1_X2,0.7891223613184121
78,complete,X1_X2,0.7989663991929827
79,complete,X1_X2,0.7975127502550703
80,complete,X1_X2,0.7949305764056255
81,complete,X1_X2,0.7996868107596038
82,complete,X1_X2,0.8023159477408045
83,complete,X1_X2,0.8055145401260145
84,complete,X1_X2,0.7931194558122183
85,complete,X1_X2,0.7951959083700894
86,complete,X1_X2,0.8047494946254781
87,complete,X1_X2,0.8060722471856898
88,complete,X1_X2,0.7979529189103816
89,complete,X1_X2,0.8004670191273098
90,complete,X1_X2,0.7935127801378193
91,complete,X1_X2,0.803195914572495
92,complete,X1_X2,0.797037154329365
93,complete,X1_X2,0.8073661762724498
94,complete,X1_X2,0.7978345178439402
95,complete,X1_X2,0.8006610505858661
96,complete,X1_X2,0.7960209568916738
97,complete,X1_X2,0.8000776721891683
98,complete,X1_X2,0.7991152892896767
99,complete,X1_X2,0.8022816438072043
100,complete,X1_X2,0.79301613936262
101,complete,X1_X2,0.8006145786131845
102,complete,X1_X2,0.8104897252711697
103,complete,X1_X2,0.8008196566268254
