,sample,Variable,First Order Effect
0,complete,X1,0.33382128040615167
1,complete,X1,0.29995436351032567
2,complete,X1,0.397916552857893
3,complete,X1,0.15233074143759268
4,complete,X1,0.2574322199737686
5,complete,X1,0.37666506813278455
6,complete,X1,0.34175973095156925
7,complete,X1,0.20713515729036555
8,complete,X1,0.20457301548915438
9,complete,X1,0.4720196017952138
10,complete,X1,0.17371298640727945
11,complete,X1,0.3933074143499467
12,complete,X1,0.3050841076834587
13,complete,X1,0.39806948009647647
14,complete,X1,0.44631003171226824
15,complete,X1,0.4011235832069806
16,complete,X1,0.33629887669384223
17,complete,X1,0.1714454665132749
18,complete,X1,0.1474142540188448
19,complete,X1,0.18808662996011352
20,complete,X1,0.2701454756675333
21,complete,X1,0.3385255089062784
22,complete,X1,0.2941820926734464
23,complete,X1,0.5414082056618625
24,complete,X1,0.31207858167010377
25,complete,X1,0.36067097280940574
26,complete,X1,0.4409394247235241
27,complete,X1,0.4328800038156975
28,complete,X1,0.234667144158018
29,complete,X1,0.36996774856616366
30,complete,X1,0.33250725508158063
31,complete,X1,0.3273448131265327
32,complete,X1,0.20759554241130967
33,complete,X1,0.3383376179864938
34,complete,X1,0.12285753071419667
35,complete,X1,0.17077546539415003
36,complete,X1,0.20781010060145894
37,complete,X1,0.36385496464529665
38,complete,X1,0.31674203794459366
39,complete,X1,0.4055610743927646
40,complete,X1,0.5399303816339801
41,complete,X1,0.4410630466450701
42,complete,X1,0.3351090511991406
43,complete,X1,0.38646833220509447
44,complete,X1,0.27576817870735193
45,complete,X1,0.17145204419068455
46,complete,X1,0.5260555353668125
47,complete,X1,0.2420908580343108
48,complete,X1,0.07572576368488582
49,complete,X1,0.3313068902574709
50,complete,X1,0.6302562506230849
51,complete,X1,0.3837673626655332
52,complete,X1,0.23045379974295463
53,complete,X1,0.014106812479977818
54,complete,X1,0.2744663510518386
55,complete,X1,0.14721195492898392
56,complete,X1,0.43642304988480324
57,complete,X1,0.0934751424703436
58,complete,X1,0.5171435939955729
59,complete,X1,0.3535148692132487
60,complete,X1,0.4050379316679303
61,complete,X1,0.2223799070775168
62,complete,X1,0.048336031090133215
63,complete,X1,0.40246013240794754
64,complete,X1,0.274844063020379
65,complete,X1,0.20099261339565702
66,complete,X1,0.46391552309868817
67,complete,X1,0.22941542886814736
68,complete,X1,0.46938998924794595
69,complete,X1,0.20922903442068486
70,complete,X1,0.15009042181822355
71,complete,X1,0.2085649286222194
72,complete,X1,0.3881224416430052
73,complete,X1,0.1367159997392078
74,complete,X1,0.2514602555473259
75,complete,X1,0.47323262083370216
76,complete,X1,0.1688221672756466
77,complete,X1,0.4681278617901822
78,complete,X1,0.267899320245478
79,complete,X1,0.49864258506973697
80,complete,X1,0.34256928973449896
81,complete,X1,0.1155123480591751
82,complete,X1,0.4240263228188492
83,complete,X1,0.362172130977268
84,complete,X1,0.396328465732232
85,complete,X1,0.38564702614700125
86,complete,X1,0.31209748581401886
87,complete,X1,0.4342512270215562
88,complete,X1,0.2809398068413407
89,complete,X1,0.11222767745419998
90,complete,X1,0.19537050530462247
91,complete,X1,0.1331947441072287
92,complete,X1,0.3797479353540803
93,complete,X1,0.1795561179933075
94,complete,X1,0.2693030513652755
95,complete,X1,0.15337601845381427
96,complete,X1,0.37064320557689867
97,complete,X1,0.39606929588179085
98,complete,X1,0.46375804666450127
99,complete,X1,0.3114448802108134
100,cc,X1,0.34663182883347415
101,cc,X1,0.03104492242105194
102,cc,X1,0.09276497603956296
103,cc,X1,0.41476890667249466
104,cc,X1,0.2689908158920281
105,cc,X1,0.2548633967664618
106,cc,X1,0.23446343508543788
107,cc,X1,0.3148908185495338
108,cc,X1,0.21769623331118487
109,cc,X1,0.04806827352755715
110,cc,X1,0.2991937300371998
111,cc,X1,0.3377403802566648
112,cc,X1,0.21160538275394022
113,cc,X1,0.3524146122954235
114,cc,X1,0.11663458435155709
115,cc,X1,0.4014483063216611
116,cc,X1,0.3493526154017878
117,cc,X1,0.22341219558385586
118,cc,X1,0.38550878247748993
119,cc,X1,0.5006959626467243
120,cc,X1,0.37647613971508403
121,cc,X1,0.4763901735865299
122,cc,X1,0.2953146799124114
123,cc,X1,0.08343072625293649
124,cc,X1,0.16375632767479853
125,cc,X1,0.4727883564148175
126,cc,X1,0.4121268833709049
127,cc,X1,0.4705741526700146
128,cc,X1,0.2221631611046441
129,cc,X1,0.36664244982845784
130,cc,X1,0.4002917948957216
131,cc,X1,0.4197239406795091
132,cc,X1,0.2768614990755438
133,cc,X1,0.2866671254427292
134,cc,X1,0.29426497727702333
135,cc,X1,0.306648922598605
136,cc,X1,0.3305516370711569
137,cc,X1,0.12692065596517732
138,cc,X1,0.25703425986106604
139,cc,X1,0.436556700122773
140,cc,X1,0.29593650838992885
141,cc,X1,0.24724124132572883
142,cc,X1,0.09547126145106222
143,cc,X1,0.23929224232060112
144,cc,X1,0.4526500322606431
145,cc,X1,0.275475825265874
146,cc,X1,0.23496062350948105
147,cc,X1,0.3031944129721474
148,cc,X1,0.41644084953315486
149,cc,X1,0.2198670844827777
150,cc,X1,0.22825587109608914
151,cc,X1,0.42412163998114727
152,cc,X1,0.16365118330616474
153,cc,X1,0.4357624271167166
154,cc,X1,0.4542163368629552
155,cc,X1,0.250385838466002
156,cc,X1,0.328340912424229
157,cc,X1,0.5099868616534917
158,cc,X1,0.23630931507263875
159,cc,X1,0.2798859743638284
160,cc,X1,0.39381362479234155
161,cc,X1,0.11953220356752844
162,cc,X1,0.2433417622668696
163,cc,X1,0.4976263909552177
164,cc,X1,0.012914820578142278
165,cc,X1,0.2126090686936594
166,cc,X1,0.342434646476803
167,cc,X1,0.12567333359725985
168,cc,X1,0.3371928651073907
169,cc,X1,0.2857361466624883
170,cc,X1,0.3384213619878884
171,cc,X1,0.4022507909761585
172,cc,X1,0.1845707290750638
173,cc,X1,0.2961040330283722
174,cc,X1,0.14457564290913757
175,cc,X1,0.1415227836020692
176,cc,X1,0.42549467417601217
177,cc,X1,0.2429397414565864
178,cc,X1,0.46024806022841536
179,cc,X1,0.3380142136925536
180,cc,X1,0.24314517580590778
181,cc,X1,0.24128959048737164
182,cc,X1,0.10065861771861064
183,cc,X1,0.1337914185129406
184,cc,X1,0.2679193809579774
185,cc,X1,0.36230833804185675
186,cc,X1,0.41385121587783713
187,cc,X1,0.40793685871104896
188,cc,X1,0.26545788170181245
189,cc,X1,0.17557883199372826
190,cc,X1,0.4000001186281174
191,cc,X1,0.18717571934260366
192,cc,X1,0.512105717764309
193,cc,X1,0.17810555371413295
194,cc,X1,0.11338602992803025
195,cc,X1,0.2456638077784007
196,cc,X1,0.30395836873815985
197,cc,X1,0.20483178295443527
198,cc,X1,0.3115119859104075
199,cc,X1,0.2719181544393194
200,complete,X2,0.5351556755985611
201,complete,X2,0.3899985583517118
202,complete,X2,0.6372211045831316
203,complete,X2,0.32315665177210084
204,complete,X2,0.5650573519151548
205,complete,X2,0.4834251596298765
206,complete,X2,0.40180295138864025
207,complete,X2,0.4912525186380232
208,complete,X2,0.6115702203294183
209,complete,X2,0.6962724672812121
210,complete,X2,0.630329760701742
211,complete,X2,0.7041794628203568
212,complete,X2,0.3114511027484734
213,complete,X2,0.6175691336072716
214,complete,X2,0.43366354812750635
215,complete,X2,0.5341532933017566
216,complete,X2,0.6134494552472819
217,complete,X2,0.5605545526590818
218,complete,X2,0.4503403141255408
219,complete,X2,0.3653403959977685
220,complete,X2,0.515973528769378
221,complete,X2,0.6675190798166709
222,complete,X2,0.5209251140478142
223,complete,X2,0.34786860372012623
224,complete,X2,0.3459498126471049
225,complete,X2,0.48386226340128774
226,complete,X2,0.464071856951574
227,complete,X2,0.5488626996458895
228,complete,X2,0.5720459962606962
229,complete,X2,0.5512135229476263
230,complete,X2,0.5271210091356678
231,complete,X2,0.33947874650923926
232,complete,X2,0.5736835945039153
233,complete,X2,0.51141188547937
234,complete,X2,0.5278320382992344
235,complete,X2,0.41695867210582777
236,complete,X2,0.4791841653895446
237,complete,X2,0.5293949191235725
238,complete,X2,0.3655228815905523
239,complete,X2,0.4342305774601061
240,complete,X2,0.5789936943336699
241,complete,X2,0.5464169922738288
242,complete,X2,0.5009087218102204
243,complete,X2,0.34560197696892214
244,complete,X2,0.45408624573630885
245,complete,X2,0.4904083643489056
246,complete,X2,0.4969945792648502
247,complete,X2,0.39243831111358185
248,complete,X2,0.5285687381807931
249,complete,X2,0.5061619873451186
250,complete,X2,0.5583949821645061
251,complete,X2,0.5931018626301366
252,complete,X2,0.5175260330660829
253,complete,X2,0.5919770152217129
254,complete,X2,0.46256014552061686
255,complete,X2,0.3607140600079727
256,complete,X2,0.4521533130457218
257,complete,X2,0.5405871114250429
258,complete,X2,0.3589429506784444
259,complete,X2,0.3483114646001918
260,complete,X2,0.6014207281251438
261,complete,X2,0.6589510611227164
262,complete,X2,0.513099710402028
263,complete,X2,0.669083766694986
264,complete,X2,0.5443022993971874
265,complete,X2,0.563742129566133
266,complete,X2,0.48558541575591435
267,complete,X2,0.514897044865217
268,complete,X2,0.5442515184095488
269,complete,X2,0.5186540847751984
270,complete,X2,0.39271638990300867
271,complete,X2,0.439095064967179
272,complete,X2,0.4160006918387853
273,complete,X2,0.28692394003051735
274,complete,X2,0.43148078925719985
275,complete,X2,0.4512452727024681
276,complete,X2,0.59894346336352
277,complete,X2,0.4618777660062203
278,complete,X2,0.42969103343596937
279,complete,X2,0.6148402353315177
280,complete,X2,0.3114161610468965
281,complete,X2,0.6056303481163883
282,complete,X2,0.6360739835192166
283,complete,X2,0.5448783210157538
284,complete,X2,0.42675020595244
285,complete,X2,0.5001280764038757
286,complete,X2,0.5868618466994401
287,complete,X2,0.44336733751378177
288,complete,X2,0.4919167167931824
289,complete,X2,0.5067578507365667
290,complete,X2,0.4409396249686995
291,complete,X2,0.4194731855396947
292,complete,X2,0.48820285089524734
293,complete,X2,0.5882923698201111
294,complete,X2,0.6190596139207315
295,complete,X2,0.35369712233798395
296,complete,X2,0.5578022987617531
297,complete,X2,0.545242477177872
298,complete,X2,0.485732698418664
299,complete,X2,0.42719686004934626
300,cc,X2,0.4908913420707891
301,cc,X2,0.44049191032486884
302,cc,X2,0.3355076070211376
303,cc,X2,0.3409156169001207
304,cc,X2,0.6452269406129119
305,cc,X2,0.37746671639939516
306,cc,X2,0.32417887688904456
307,cc,X2,0.4720262994612751
308,cc,X2,0.6315295373212226
309,cc,X2,0.4408554035157218
310,cc,X2,0.5178079073098081
311,cc,X2,0.31653178495346573
312,cc,X2,0.6337564794055788
313,cc,X2,0.4589785167839967
314,cc,X2,0.6062421783047535
315,cc,X2,0.6170584203432226
316,cc,X2,0.5180810789968106
317,cc,X2,0.5020067440693461
318,cc,X2,0.5141578915763656
319,cc,X2,0.3752403560670296
320,cc,X2,0.325309298288902
321,cc,X2,0.6344645056359648
322,cc,X2,0.38386221880675564
323,cc,X2,0.40376851592308277
324,cc,X2,0.43149412256699127
325,cc,X2,0.5021528545235076
326,cc,X2,0.4823137185229442
327,cc,X2,0.34613353947697306
328,cc,X2,0.6536265246668851
329,cc,X2,0.3760942446026297
330,cc,X2,0.4878523859890122
331,cc,X2,0.38706898504238973
332,cc,X2,0.45458146459825216
333,cc,X2,0.4174637924254034
334,cc,X2,0.5030913767540754
335,cc,X2,0.7463168471960939
336,cc,X2,0.4210269696800334
337,cc,X2,0.7152033026778467
338,cc,X2,0.6544316207821407
339,cc,X2,0.48381021454496587
340,cc,X2,0.4035470096495695
341,cc,X2,0.640469954158729
342,cc,X2,0.6892136364558732
343,cc,X2,0.4801276767252003
344,cc,X2,0.7007047619979668
345,cc,X2,0.49433121591756796
346,cc,X2,0.4095425898223355
347,cc,X2,0.5261150262350073
348,cc,X2,0.777289119050194
349,cc,X2,0.5292505563269907
350,cc,X2,0.46929121965781484
351,cc,X2,0.4372685252250873
352,cc,X2,0.6155662151539187
353,cc,X2,0.5438082232713412
354,cc,X2,0.6908129816870204
355,cc,X2,0.44984504163171857
356,cc,X2,0.49509545394883775
357,cc,X2,0.5932346125185817
358,cc,X2,0.542361239937024
359,cc,X2,0.5977781560929276
360,cc,X2,0.4755230142143306
361,cc,X2,0.34498568580722655
362,cc,X2,0.43884197207328723
363,cc,X2,0.526355309453878
364,cc,X2,0.4749843500032735
365,cc,X2,0.5971833469283132
366,cc,X2,0.6900091991879094
367,cc,X2,0.5463006503833243
368,cc,X2,0.5847982614423406
369,cc,X2,0.5822235670888651
370,cc,X2,0.18089091991418954
371,cc,X2,0.5052217919917361
372,cc,X2,0.4561646754787416
373,cc,X2,0.792589287338516
374,cc,X2,0.5954740445512373
375,cc,X2,0.6104131254220444
376,cc,X2,0.4371200810368009
377,cc,X2,0.5002093883439092
378,cc,X2,0.5715662476783494
379,cc,X2,0.44948277735855874
380,cc,X2,0.5729237135262027
381,cc,X2,0.3887057404579945
382,cc,X2,0.4905003490569447
383,cc,X2,0.5492545422009809
384,cc,X2,0.5034643548670267
385,cc,X2,0.5175699719500227
386,cc,X2,0.6658700696362523
387,cc,X2,0.4044540561376141
388,cc,X2,0.705355788575396
389,cc,X2,0.580384268551815
390,cc,X2,0.3015038405258592
391,cc,X2,0.48581932124360033
392,cc,X2,0.6394414174428982
393,cc,X2,0.3558055405175941
394,cc,X2,0.6053229213711259
395,cc,X2,0.3621139912417801
396,cc,X2,0.6043831182654426
397,cc,X2,0.5386990899345628
398,cc,X2,0.5451321565135802
399,cc,X2,0.5151668667332528
400,complete,X3,0.20759150232253687
401,complete,X3,0.25935067458882666
402,complete,X3,0.06345743737850026
403,complete,X3,0.19961938396702048
404,complete,X3,0.16207252811379588
405,complete,X3,-0.04125664473839461
406,complete,X3,0.2548033287629525
407,complete,X3,0.27814396531608576
408,complete,X3,-0.014683212606468973
409,complete,X3,0.2625992597417023
410,complete,X3,-0.010951401756672982
411,complete,X3,0.11858253215335227
412,complete,X3,0.14683751473644982
413,complete,X3,0.41241162826606015
414,complete,X3,0.1613663260272246
415,complete,X3,0.1881341795222419
416,complete,X3,0.29289454827602684
417,complete,X3,0.07691272303877959
418,complete,X3,0.32594049796618835
419,complete,X3,0.19068734417924796
420,complete,X3,0.019516718676568286
421,complete,X3,0.14713120382701225
422,complete,X3,0.1483936726561306
423,complete,X3,-0.11031019691748406
424,complete,X3,-0.030727238045908507
425,complete,X3,0.2096176431260121
426,complete,X3,0.15714201011392012
427,complete,X3,0.27904063125757966
428,complete,X3,0.25311391127414
429,complete,X3,0.28341110596200736
430,complete,X3,-0.030434325561702544
431,complete,X3,0.4610475971583977
432,complete,X3,0.12073035779534766
433,complete,X3,0.11319036526344958
434,complete,X3,0.12450029946946144
435,complete,X3,0.10109545779413374
436,complete,X3,0.06250795459487156
437,complete,X3,0.4086060789216213
438,complete,X3,0.0716961501577672
439,complete,X3,0.2387031833364624
440,complete,X3,0.1689145976636067
441,complete,X3,-0.07260583551787154
442,complete,X3,0.3420967661359089
443,complete,X3,0.26212119714167587
444,complete,X3,0.2588614691321777
445,complete,X3,0.12423102969689473
446,complete,X3,0.3477687373679377
447,complete,X3,0.22268186312851915
448,complete,X3,0.1228226833057404
449,complete,X3,0.16551253343720335
450,complete,X3,0.23669357593327967
451,complete,X3,0.22988620178784575
452,complete,X3,0.2314723981384716
453,complete,X3,0.15884857333494057
454,complete,X3,0.22633666247892395
455,complete,X3,0.3822447329850074
456,complete,X3,0.1231131501086161
457,complete,X3,0.28336059347849263
458,complete,X3,0.12896114046373347
459,complete,X3,0.02008051100051025
460,complete,X3,0.3069816884734584
461,complete,X3,0.06689130205336348
462,complete,X3,0.16275258041743695
463,complete,X3,0.05448150882772853
464,complete,X3,0.1384074934867869
465,complete,X3,0.2625704142145993
466,complete,X3,0.14522575719113767
467,complete,X3,0.28400370982197537
468,complete,X3,-0.038466708935839734
469,complete,X3,0.04312948247879127
470,complete,X3,0.01527494821138859
471,complete,X3,-0.03156564106134132
472,complete,X3,0.061469299195111966
473,complete,X3,0.14632821188589742
474,complete,X3,0.1446646381857489
475,complete,X3,0.3110285936232064
476,complete,X3,0.2270995019637525
477,complete,X3,0.26494443871175977
478,complete,X3,0.021296204260507202
479,complete,X3,0.39169639749814206
480,complete,X3,0.2675226856384665
481,complete,X3,0.2324122024753482
482,complete,X3,-0.10750997486073133
483,complete,X3,0.06810900218362136
484,complete,X3,0.17903859744526432
485,complete,X3,0.22113939722559287
486,complete,X3,0.11797718709696588
487,complete,X3,0.2889986284368293
488,complete,X3,0.28457701437749866
489,complete,X3,0.16690056307705084
490,complete,X3,0.08748942050332137
491,complete,X3,0.19597685346442112
492,complete,X3,0.15203002781911856
493,complete,X3,0.17701092114676975
494,complete,X3,0.26227204437030033
495,complete,X3,0.18475952365972342
496,complete,X3,0.42210973039029015
497,complete,X3,0.0308167465277197
498,complete,X3,-0.01376269089098409
499,complete,X3,-0.08426175028994519
500,cc,X3,0.2731983302289458
501,cc,X3,0.292460421576344
502,cc,X3,0.2801895796636149
503,cc,X3,-0.03333439123306746
504,cc,X3,0.3869695579417685
505,cc,X3,0.1847987060901533
506,cc,X3,0.017081928561629697
507,cc,X3,0.013943618146012601
508,cc,X3,0.002374964524338089
509,cc,X3,-0.05376731774372995
510,cc,X3,0.13383747618540306
511,cc,X3,0.06675119399550186
512,cc,X3,0.09415506942400316
513,cc,X3,0.16007903212675856
514,cc,X3,0.1516515444600078
515,cc,X3,-0.02443535945767207
516,cc,X3,0.19062890177651495
517,cc,X3,0.3863404175987837
518,cc,X3,0.39990613287642823
519,cc,X3,0.12793223714067545
520,cc,X3,0.07794906505069134
521,cc,X3,0.27073616722366334
522,cc,X3,0.24500467007653262
523,cc,X3,0.15486086638975774
524,cc,X3,-0.007569073678666616
525,cc,X3,-0.03074867280269085
526,cc,X3,0.04361714059126161
527,cc,X3,0.520182969933196
528,cc,X3,0.19632399309499704
529,cc,X3,0.005948073644870689
530,cc,X3,0.16739748952221625
531,cc,X3,0.21784932788655392
532,cc,X3,0.2079473591529594
533,cc,X3,0.30732725841671976
534,cc,X3,0.2141655657341167
535,cc,X3,-0.02952816203291812
536,cc,X3,0.1284505979005716
537,cc,X3,-0.1029071431672052
538,cc,X3,-0.06736169867847579
539,cc,X3,0.3855314549461069
540,cc,X3,0.37612844380751304
541,cc,X3,0.38727978238566546
542,cc,X3,0.12415577155167563
543,cc,X3,0.22744389516258173
544,cc,X3,0.04936258900357894
545,cc,X3,-0.07457957931938997
546,cc,X3,0.28299579088161897
547,cc,X3,0.19609871108782512
548,cc,X3,0.14082845532560606
549,cc,X3,0.6090529144056637
550,cc,X3,0.3267343746488691
551,cc,X3,0.4092460767893864
552,cc,X3,0.043959823144400244
553,cc,X3,-0.00489746814869692
554,cc,X3,0.2650118056216588
555,cc,X3,0.04136948836725746
556,cc,X3,0.2929651188272705
557,cc,X3,0.6716522695413968
558,cc,X3,-0.08323157716494937
559,cc,X3,-0.1449413572216585
560,cc,X3,0.23780816955871167
561,cc,X3,0.26986585455315704
562,cc,X3,0.1897813471693181
563,cc,X3,0.30421356304742664
564,cc,X3,0.23949348714202498
565,cc,X3,-0.10897855631471147
566,cc,X3,-0.03933202162718009
567,cc,X3,0.11813802391676997
568,cc,X3,-0.007601174363092709
569,cc,X3,0.09595091275137117
570,cc,X3,-0.02383859546053142
571,cc,X3,0.3739469393054788
572,cc,X3,0.21253970065511096
573,cc,X3,0.5442218480760798
574,cc,X3,-0.0947154178678138
575,cc,X3,0.08106448440478765
576,cc,X3,0.356761842703569
577,cc,X3,0.5132058282041942
578,cc,X3,0.06765722485288056
579,cc,X3,0.31010470428898007
580,cc,X3,-0.06499057750475032
581,cc,X3,0.14266226883688155
582,cc,X3,0.12004963344827231
583,cc,X3,0.25320522197913803
584,cc,X3,0.3197665437272324
585,cc,X3,0.4624285957499035
586,cc,X3,0.26847492015035035
587,cc,X3,0.30477967120355554
588,cc,X3,0.6369195159008338
589,cc,X3,0.2946693446512738
590,cc,X3,0.09387491993526799
591,cc,X3,0.2713617445504862
592,cc,X3,-0.03528787738569147
593,cc,X3,0.2538221516157121
594,cc,X3,0.41151723805831525
595,cc,X3,0.010399374961536461
596,cc,X3,0.21988245431983677
597,cc,X3,0.14114116304270485
598,cc,X3,0.2838276561182168
599,cc,X3,0.055658941146432175
